a "In; on; at; by."
armozeen "Alt. of Armozine"
armpit "The hollow beneath the junction of the arm and shoulder; the axilla."
arms "Instruments or weapons of offense or defense."
armure "Armor."
army "A great number; a vast multitude; a host."
arna "Alt. of Arnee"
arnatto "See Annotto."
arnicin "An active principle of Arnica montana. It is a bitter resin."
arnicine "An alkaloid obtained from the arnica plant."
arnot "Alt. of Arnut"
arnut "The earthnut."
arnotto "Same as Annotto."
aroid "Alt. of Aroideous"
aroint "To drive or scare off by some exclamation."
aromatic "Alt. of Aromatical"
aromatization "The act of impregnating or secting with aroma."
aromatized "of Aromatize"
aromatizing "of Aromatize"
aromatize "To impregnate with aroma; to render aromatic; to give a spicy scent or taste to; to perfume."
aromatous "Aromatic."
aroph "A barbarous word used by the old chemists to designate various medical remedies."
around "In a circle; circularly; on every side; round."
aroused "of Arouse"
arousing "of Arouse"
aroynt "See Aroint."
arpent "Alt. of Arpen"
arpine "An arpent."
arquated "Shaped like a bow; arcuate; curved."
arquebus "Alt. of Arquebuse"
arquebusade "The shot of an arquebus."
arquebusier "A soldier armed with an arquebus."
arquifoux "Same as Alquifou."
arrach "See Orach."
arragonite "See Aragonite."
arraigned "of Arraign"
arraigning "of Arraign"
arraign "To call or set as a prisoner at the bar of a court to answer to the matter charged in an indictment or complaint."
arraigner "One who arraigns."
arraignment "A calling to an account to faults; accusation."
arraiment "Alt. of Arrayment"
arrayment "Clothes; raiment."
arranged "of Arrange"
arranging "of Arrange"
arrangement "The act of arranging or putting in an orderly condition; the state of being arranged or put in order; disposition in suitable form."
arranger "One who arranges."
arras "To furnish with an arras."
arrasene "A material of wool or silk used for working the figures in embroidery."
arraswise "Alt. of Arrasways"
arraught "Obtained; seized."
array "An imposing series of things."
arrayed "of Array"
arraying "of Array"
arrear "To or in the rear; behind; backwards."
arrect "Alt. of Arrected"
arrected "Lifted up; raised; erect."
arrectary "An upright beam."
arreption "The act of taking away."
arrested "of Arrest"
arresting "of Arrest"
arrest "To rest or fasten; to fix; to concentrate."
arrestation "Arrest."
arrestee "The person in whose hands is the property attached by arrestment."
arrester "One who arrests."
arrestive "Tending to arrest."
arrestment "A stoppage or check."
arret "An arrest; a legal seizure."
arrhaphostic "Seamless."
arrhizal "Alt. of Arrhizous"
arrhythmic "Alt. of Arrhythmous"
arrhytmy "Want of rhythm."
arride "To please; to gratify."
arrish "The stubble of wheat or grass; a stubble field; eddish."
arrival "An approach."
arrivance "Arrival."
arrived "of Arrive"
arriving "of Arrive"
arrive "To happen or occur."
arriver "One who arrives."
arrogancy "Arrogance."
arrogantly "In an arrogant manner; with undue pride or self-importance."
arrogantness "Arrogance."
arrogated "of Arrogate"
arrogating "of Arrogate"
arrogation "Adoption of a person of full age."
arrogative "Making undue claims and pretension; prone to arrogance."
arrondissement "A subdivision of a department."
arrose "To drench; to besprinkle; to moisten."
arrosion "A gnawing."
arrowhead "The head of an arrow."
arrowheaded "Shaped like the head of an arrow; cuneiform."
arrowy "Consisting of arrows."
arroyos "of Arroyo"
arroyo "A water course; a rivulet."
arschin "See Arshine."
arsenate "A salt of arsenic acid."
arseniate "See Arsenate."
arsenicated "of Arsenicate"
arsenicating "of Arsenicate"
arsenicate "To combine with arsenic; to treat or impregnate with arsenic."
arsenicism "A diseased condition produced by slow poisoning with arsenic."
arseniferous "Containing or producing arsenic."
arsenite "A salt formed by the union of arsenious acid with a base."
arseniuret "See Arsenide."
arsesmart "Smartweed; water pepper."
arshine "A Russian measure of length = 2 ft. 4.246 inches."
arsmetrike "Arithmetic."
art "The employment of means to accomplish some desired end; the adaptation of things in the natural world to the uses of life; the application of knowledge or power to practical purposes."
artemia "A genus of phyllopod Crustacea found in salt lakes and brines; the brine shrimp. See Brine shrimp."
arteriac "Of or pertaining to the windpipe."
arterialized "of Arterialize"
arterializing "of Arterialize"
arteriography "A systematic description of the arteries."
arteriole "A small artery."
arteriology "That part of anatomy which treats of arteries."
arteriotomy "That part of anatomy which treats of the dissection of the arteries."
arteritis "Inflammation of an artery or arteries."
arteries "of Artery"
artery "The trachea or windpipe."
artful "Artificial; imitative."
artfully "In an artful manner; with art or cunning; skillfully; dexterously; craftily."
artfulness "The quality of being artful; art; cunning; craft."
arthen "Same as"
arthritic "Alt. of Arthritical"
arthritical "Pertaining to the joints."
arthroderm "The external covering of an Arthropod."
arthrodial "Alt. of Arthrodic"
arthrodic "Of or pertaining to arthrodia."
arthrography "The description of joints."
arthrology "That part of anatomy which treats of joints."
arthromere "One of the body segments of Arthropods. See Arthrostraca."
arthropleura "The side or limb-bearing portion of an arthromere."
arthropod "One of the Arthropoda."
arthropomata "One of the orders of Branchiopoda. See Branchiopoda."
arthrosis "Articulation."
arthrozoic "Of or pertaining to the Articulata; articulate."
artiad "Even; not odd; -- said of elementary substances and of radicals the valence of which is divisible by two without a remainder."
artichoke "See Jerusalem artichoke."
article "Subject; matter; concern; distinct."
articled "of Article"
articling "of Article"
articular "Alt. of Articulary"
articularly "In an articular or an articulate manner."
articulata "One of the four subkingdoms in the classification of Cuvier. It has been much modified by later writers."
articulate "Expressed in articles or in separate items or particulars."
articulated "of Articulate"
articulating "of Articulate"
articulately "Article by article; in distinct particulars; in detail; definitely."
articulateness "Quality of being articulate."
articulation "A joint or juncture between bones in the skeleton."
articulative "Of or pertaining to articulation."
articuli "of Articulus"
articulus "A joint of the cirri of the Crinoidea; a joint or segment of an arthropod appendage."
artifice "A handicraft; a trade; art of making."
artificer "A cunning or artful fellow."
artificial "Feigned; fictitious; assumed; affected; not genuine."
artificiality "The quality or appearance of being artificial; that which is artificial."
artificialize "To render artificial."
artificially "Ingeniously; skillfully."
artificialness "The quality of being artificial."
artificious "Artificial."
artilize "To make resemble."
artillerist "A person skilled in artillery or gunnery; a gunner; an artilleryman."
artillery "The men and officers of that branch of the army to which the care and management of artillery are confided."
artiodactyle "One of the Artiodactyla."
artiodactylous "Even-toed."
artisan "One who professes and practices some liberal art; an artist."
artist "One who practices some mechanic art or craft; an artisan."
artistic "Alt. of Artistical"
artistical "Of or pertaining to art or to artists; made in the manner of an artist; conformable to art; characterized by art; showing taste or skill."
artistry "Works of art collectively."
artless "Contrived without skill or art; inartistic."
artly "With art or skill."
artocarpeous "Alt. of Artocarpous"
artotype "A kind of autotype."
artow "A contraction of art thou."
artsman "A man skilled in an art or in arts."
arundiferous "Producing reeds or canes."
arundinaceous "Of or pertaining to a reed; resembling the reed or cane."
arundineous "Abounding with reeds; reedy."
aruspices "of Aruspex"
aruspice "A soothsayer of ancient Rome. Same as Aruspex."
aruspicy "Prognostication by inspection of the entrails of victims slain sacrifice."
arval "A funeral feast."
arvicole "A mouse of the genus Arvicola; the meadow mouse. There are many species."
aryan "The language of the original Aryans."
as "Because; since; it being the case that."
asses "of As"
asa "An ancient name of a gum."
asafetida "Alt. of Asafoetida"
asafoetida "The fetid gum resin or inspissated juice of a large umbelliferous plant of Persia and the East Indies. It is used in medicine as an antispasmodic."
asaphus "A genus of trilobites found in the Lower Silurian formation. See Illust. in Append."
asbestiform "Having the form or structure of asbestus."
asbestous "Asbestic."
asbestus "Alt. of Asbestos"
ascarides "of Ascarid"
ascended "of Ascend"
ascending "of Ascend"
ascend "To move upward; to mount; to go up; to rise; -- opposed to descend."
ascendable "Capable of being ascended."
ascendancy "Alt. of Ascendance"
ascendance "Same as Ascendency."
ascendant "Ascent; height; elevation."
ascendent "Rising toward the zenith; above the horizon."
ascendency "Governing or controlling influence; domination; power."
ascendible "Capable of being ascended; climbable."
ascension "The act of ascending; a rising; ascent."
ascensive "Augmentative; intensive."
ascent "The way or means by which one ascends."
ascertained "of Ascertain"
ascertaining "of Ascertain"
ascertain "To render certain; to cause to feel certain; to make confident; to assure; to apprise."
ascertainable "That may be ascertained."
ascertainer "One who ascertains."
ascertainment "The act of ascertaining; a reducing to certainty; a finding out by investigation; discovery."
ascessancy "Alt. of Ascessant"
ascetic "Extremely rigid in self-denial and devotions; austere; severe."
